filename,makam,form,usul,title,composer,midi_path,processed_filename
neva_kurdi--kupe--musemmen--bir_usul--ahmet_avni_konuk.mid,neva_kurdi,kupe,musemmen,bir usul,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/neva_kurdi--kupe--musemmen--bir_usul--ahmet_avni_konuk.mid,symbtr_020_neva_kurdi_kupe.mid
hicazkar--pesrev--berefsan----gazi_giray_han.mid,hicazkar,pesrev,berefsan,,gazi giray han,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicazkar--pesrev--berefsan----gazi_giray_han.mid,symbtr_021_hicazkar_pesrev.mid
beyati--agirsemai--agir_aksaksemai--soylen_ol--bolahenk_nuri_bey.mid,beyati,agirsemai,agir_aksaksemai,soylen ol,bolahenk nuri bey,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/beyati--agirsemai--agir_aksaksemai--soylen_ol--bolahenk_nuri_bey.mid,symbtr_022_beyati_agirsemai.mid
hicazbuselik--kupe--aksak--pek_hararet--ahmet_avni_konuk.mid,hicazbuselik,kupe,aksak,pek hararet,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicazbuselik--kupe--aksak--pek_hararet--ahmet_avni_konuk.mid,symbtr_023_hicazbuselik_kupe.mid
mahur--agirsemai--aksaksemai--cihani_lal-i--itri.mid,mahur,agirsemai,aksaksemai,cihani lal-i,itri,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/mahur--agirsemai--aksaksemai--cihani_lal-i--itri.mid,symbtr_024_mahur_agirsemai.mid
rahatfeza--kupe--agirevfer--etse_agaze--ahmet_avni_konuk.mid,rahatfeza,kupe,agirevfer,etse agaze,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/rahatfeza--kupe--agirevfer--etse_agaze--ahmet_avni_konuk.mid,symbtr_025_rahatfeza_kupe.mid
tahir--turku--devrituran--asagidan_gelir--sivas.mid,tahir,turku,devrituran,asagidan gelir,sivas,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/tahir--turku--devrituran--asagidan_gelir--sivas.mid,symbtr_026_tahir_turku.mid
gerdaniye--turku--raksaksagi--penceresi_yesil--konya.mid,gerdaniye,turku,raksaksagi,penceresi yesil,konya,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/gerdaniye--turku--raksaksagi--penceresi_yesil--konya.mid,symbtr_027_gerdaniye_turku.mid
beyati--sazsemaisi--aksaksemai----nayi_osman_dede.mid,beyati,sazsemaisi,aksaksemai,,nayi osman dede,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/beyati--sazsemaisi--aksaksemai----nayi_osman_dede.mid,symbtr_028_beyati_sazsemaisi.mid
segah--aranagme--yuruksemai_ii--1--.mid,segah,aranagme,yuruksemai_ii,1,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/segah--aranagme--yuruksemai_ii--1--.mid,symbtr_029_segah_aranagme.mid
saba--aranagme--senginsemai--1--.mid,saba,aranagme,senginsemai,1,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/saba--aranagme--senginsemai--1--.mid,symbtr_030_saba_aranagme.mid
rehavi--beste--remel--zannetme_ben--numan_aga.mid,rehavi,beste,remel,zannetme ben,numan aga,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/rehavi--beste--remel--zannetme_ben--numan_aga.mid,symbtr_031_rehavi_beste.mid
yegah--agirsemai--aksaksemai--piyale_elde--dellalzade_haci_ismail_efendi.mid,yegah,agirsemai,aksaksemai,piyale elde,dellalzade haci ismail efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/yegah--agirsemai--aksaksemai--piyale_elde--dellalzade_haci_ismail_efendi.mid,symbtr_032_yegah_agirsemai.mid
beyatibuselik--kupe--agiraksak--bir_beyatibuselik--ahmet_avni_konuk.mid,beyatibuselik,kupe,agiraksak,bir beyatibuselik,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/beyatibuselik--kupe--agiraksak--bir_beyatibuselik--ahmet_avni_konuk.mid,symbtr_033_beyatibuselik_kupe.mid
yeni_cargah--destan--turkaksagi--bir_gemi--.mid,yeni_cargah,destan,turkaksagi,bir gemi,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/yeni_cargah--destan--turkaksagi--bir_gemi--.mid,symbtr_034_yeni_cargah_destan.mid
sedaraban--sarki--duyek--gozumden_gonlumden--dede_efendi.mid,sedaraban,sarki,duyek,gozumden gonlumden,dede efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/sedaraban--sarki--duyek--gozumden_gonlumden--dede_efendi.mid,symbtr_035_sedaraban_sarki.mid
sivenuma--beste--devrirevan--bir_goruste--abdulhalim_aga.mid,sivenuma,beste,devrirevan,bir goruste,abdulhalim aga,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/sivenuma--beste--devrirevan--bir_goruste--abdulhalim_aga.mid,symbtr_036_sivenuma_beste.mid
nisaburek--sarki--turkaksagi--bir_soz_dedi--munir_nurettin_selcuk.mid,nisaburek,sarki,turkaksagi,bir soz dedi,munir nurettin selcuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/nisaburek--sarki--turkaksagi--bir_soz_dedi--munir_nurettin_selcuk.mid,symbtr_037_nisaburek_sarki.mid
sazkar--agirsemai--aksaksemai--nice_bir--ilya_efendi.mid,sazkar,agirsemai,aksaksemai,nice bir,ilya efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/sazkar--agirsemai--aksaksemai--nice_bir--ilya_efendi.mid,symbtr_038_sazkar_agirsemai.mid
buselik--agirsemai--agir_aksaksemai--soyle_ey_nalem--ahmed_irsoy.mid,buselik,agirsemai,agir_aksaksemai,soyle ey nalem,ahmed irsoy,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/buselik--agirsemai--agir_aksaksemai--soyle_ey_nalem--ahmed_irsoy.mid,symbtr_039_buselik_agirsemai.mid
suzidil--kupe--aksaksemai--yandi--ahmet_avni_konuk.mid,suzidil,kupe,aksaksemai,yandi,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/suzidil--kupe--aksaksemai--yandi--ahmet_avni_konuk.mid,symbtr_040_suzidil_kupe.mid
hicazkarkurdi--seyir--semai--1--rauf_yekta.mid,hicazkarkurdi,seyir,semai,1,rauf yekta,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicazkarkurdi--seyir--semai--1--rauf_yekta.mid,symbtr_041_hicazkarkurdi_seyir.mid
yegah--sarki--duyek--ay_buyurken--alaeddin_yavasca.mid,yegah,sarki,duyek,ay buyurken,alaeddin yavasca,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/yegah--sarki--duyek--ay_buyurken--alaeddin_yavasca.mid,symbtr_042_yegah_sarki.mid
acemkurdi--aranagme--senginsemai--1--.mid,acemkurdi,aranagme,senginsemai,1,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/acemkurdi--aranagme--senginsemai--1--.mid,symbtr_043_acemkurdi_aranagme.mid
ussak--pesrev--cenber----zurnazen_ibrahim_aga.mid,ussak,pesrev,cenber,,zurnazen ibrahim aga,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/ussak--pesrev--cenber----zurnazen_ibrahim_aga.mid,symbtr_044_ussak_pesrev.mid
nihavent--sarki--semai--bekledim_de--yesari_asim_arsoy.mid,nihavent,sarki,semai,bekledim de,yesari asim arsoy,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/nihavent--sarki--semai--bekledim_de--yesari_asim_arsoy.mid,symbtr_045_nihavent_sarki.mid
nihavent--sarki--senginsemai--bir_gun--musa_sureyya_bey.mid,nihavent,sarki,senginsemai,bir gun,musa sureyya bey,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/nihavent--sarki--senginsemai--bir_gun--musa_sureyya_bey.mid,symbtr_046_nihavent_sarki.mid
hisarbuselik--aranagme--turkaksagi--1--.mid,hisarbuselik,aranagme,turkaksagi,1,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hisarbuselik--aranagme--turkaksagi--1--.mid,symbtr_047_hisarbuselik_aranagme.mid
suzinak_zirgule--sarki--curcuna--benim_yarem--latif_aga.mid,suzinak_zirgule,sarki,curcuna,benim yarem,latif aga,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/suzinak_zirgule--sarki--curcuna--benim_yarem--latif_aga.mid,symbtr_048_suzinak_zirgule_sarki.mid
ferahfeza--beste--firengifer--ey_kasi--dede_efendi.mid,ferahfeza,beste,firengifer,ey kasi,dede efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/ferahfeza--beste--firengifer--ey_kasi--dede_efendi.mid,symbtr_049_ferahfeza_beste.mid
bendihisar--kupe--yuruksemai_ii--her_makamin--ahmet_avni_konuk.mid,bendihisar,kupe,yuruksemai_ii,her makamin,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/bendihisar--kupe--yuruksemai_ii--her_makamin--ahmet_avni_konuk.mid,symbtr_050_bendihisar_kupe.mid
nihavendirumi--kupe--devrirevanihindi--nesesi_rumi--ahmet_avni_konuk.mid,nihavendirumi,kupe,devrirevanihindi,nesesi rumi,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/nihavendirumi--kupe--devrirevanihindi--nesesi_rumi--ahmet_avni_konuk.mid,symbtr_051_nihavendirumi_kupe.mid
muhayyer--turku--duyek--sari_kizin--kirsehir.mid,muhayyer,turku,duyek,sari kizin,kirsehir,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/muhayyer--turku--duyek--sari_kizin--kirsehir.mid,symbtr_052_muhayyer_turku.mid
