filename,makam,form,usul,title,composer,midi_path,processed_filename
acemasiran--aranagme--sofyan--1--.mid,acemasiran,aranagme,sofyan,1,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/acemasiran--aranagme--sofyan--1--.mid,symbtr_083_acemasiran_aranagme.mid
hicazasiran--beste--cenber--gonlumu_viran--zekai_dede.mid,hicazasiran,beste,cenber,gonlumu viran,zekai dede,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicazasiran--beste--cenber--gonlumu_viran--zekai_dede.mid,symbtr_084_hicazasiran_beste.mid
kurdilihicazkar--kupe--devrirevanihindi--tarz-i_kurdili--ahmet_avni_konuk.mid,kurdilihicazkar,kupe,devrirevanihindi,tarz-i kurdili,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/kurdilihicazkar--kupe--devrirevanihindi--tarz-i_kurdili--ahmet_avni_konuk.mid,symbtr_085_kurdilihicazkar_kupe.mid
nihavent--sazeseri--nimsofyan--kanatlarim_olsaydi--serif_muhittin_targan.mid,nihavent,sazeseri,nimsofyan,kanatlarim olsaydi,serif muhittin targan,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/nihavent--sazeseri--nimsofyan--kanatlarim_olsaydi--serif_muhittin_targan.mid,symbtr_086_nihavent_sazeseri.mid
dugah_maye--kupe--duyek--bir_dugah--ahmet_avni_konuk.mid,dugah_maye,kupe,duyek,bir dugah,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/dugah_maye--kupe--duyek--bir_dugah--ahmet_avni_konuk.mid,symbtr_087_dugah_maye_kupe.mid
hicazkar--kocekce--aksak--gece_gunduz--muallim_ismail_hakki_bey.mid,hicazkar,kocekce,aksak,gece gunduz,muallim ismail hakki bey,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicazkar--kocekce--aksak--gece_gunduz--muallim_ismail_hakki_bey.mid,symbtr_088_hicazkar_kocekce.mid
serefnuma--sazsemaisi--aksaksemai----suphi_ezgi.mid,serefnuma,sazsemaisi,aksaksemai,,suphi ezgi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/serefnuma--sazsemaisi--aksaksemai----suphi_ezgi.mid,symbtr_089_serefnuma_sazsemaisi.mid
vecdidil--pesrev--muhammes----ruhi_ayangil.mid,vecdidil,pesrev,muhammes,,ruhi ayangil,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/vecdidil--pesrev--muhammes----ruhi_ayangil.mid,symbtr_090_vecdidil_pesrev.mid
beyati--turku--3334--kirmizi_gul--erzurum.mid,beyati,turku,3334,kirmizi gul,erzurum,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/beyati--turku--3334--kirmizi_gul--erzurum.mid,symbtr_091_beyati_turku.mid
hicaz_zemzeme--sarki--aksak--gideyim_de--muallim_ismail_hakki_bey.mid,hicaz_zemzeme,sarki,aksak,gideyim de,muallim ismail hakki bey,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicaz_zemzeme--sarki--aksak--gideyim_de--muallim_ismail_hakki_bey.mid,symbtr_092_hicaz_zemzeme_sarki.mid
mustear--kupe--darb--kimden--ahmet_avni_konuk.mid,mustear,kupe,darb,kimden,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/mustear--kupe--darb--kimden--ahmet_avni_konuk.mid,symbtr_093_mustear_kupe.mid
huzzam--agirsemai--aksaksemai--kurban_olayim--haci_faik_bey.mid,huzzam,agirsemai,aksaksemai,kurban olayim,haci faik bey,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/huzzam--agirsemai--aksaksemai--kurban_olayim--haci_faik_bey.mid,symbtr_094_huzzam_agirsemai.mid
karcigar--seyir--semai--1--rauf_yekta.mid,karcigar,seyir,semai,1,rauf yekta,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/karcigar--seyir--semai--1--rauf_yekta.mid,symbtr_095_karcigar_seyir.mid
selmek--sazsemaisi--aksaksemai----mehmet_aga.mid,selmek,sazsemaisi,aksaksemai,,mehmet aga,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/selmek--sazsemaisi--aksaksemai----mehmet_aga.mid,symbtr_096_selmek_sazsemaisi.mid
rast--kar_i_nev--agirduyek--gozumde_daim--dede_efendi.mid,rast,kar_i_nev,agirduyek,gozumde daim,dede efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/rast--kar_i_nev--agirduyek--gozumde_daim--dede_efendi.mid,symbtr_097_rast_kar_i_nev.mid
zavil--turku--sofyan--ela_gozlum_yiktin--sadettin_kaynak.mid,zavil,turku,sofyan,ela gozlum yiktin,sadettin kaynak,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/zavil--turku--sofyan--ela_gozlum_yiktin--sadettin_kaynak.mid,symbtr_098_zavil_turku.mid
buselik--sarki--devrihindi--bahara_indi--selahattin_icli.mid,buselik,sarki,devrihindi,bahara indi,selahattin icli,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/buselik--sarki--devrihindi--bahara_indi--selahattin_icli.mid,symbtr_099_buselik_sarki.mid
segah--sarki--aksak--gece_sessiz--gultekin_ceki.mid,segah,sarki,aksak,gece sessiz,gultekin ceki,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/segah--sarki--aksak--gece_sessiz--gultekin_ceki.mid,symbtr_100_segah_sarki.mid
beyati--turku--devrihindi--bir_cift--yozgat.mid,beyati,turku,devrihindi,bir cift,yozgat,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/beyati--turku--devrihindi--bir_cift--yozgat.mid,symbtr_101_beyati_turku.mid
goncairana--kupe--musemmen--bulbul-i--ahmet_avni_konuk.mid,goncairana,kupe,musemmen,bulbul-i,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/goncairana--kupe--musemmen--bulbul-i--ahmet_avni_konuk.mid,symbtr_102_goncairana_kupe.mid
reyya--sarki--sofyan--suzme_cesmin--erol_basara.mid,reyya,sarki,sofyan,suzme cesmin,erol basara,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/reyya--sarki--sofyan--suzme_cesmin--erol_basara.mid,symbtr_103_reyya_sarki.mid
beyati_arabanbuselik--kupe--aksak--gel_beyati--ahmet_avni_konuk.mid,beyati_arabanbuselik,kupe,aksak,gel beyati,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/beyati_arabanbuselik--kupe--aksak--gel_beyati--ahmet_avni_konuk.mid,symbtr_104_beyati_arabanbuselik_kupe.mid
ussak--yuruksemai--yuruksemai--ol_sim-beden--tabi_mustafa_efendi.mid,ussak,yuruksemai,yuruksemai,ol sim-beden,tabi mustafa efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/ussak--yuruksemai--yuruksemai--ol_sim-beden--tabi_mustafa_efendi.mid,symbtr_105_ussak_yuruksemai.mid
maveraunnehr--kupe--devrirevanihindi--alem-i_elhan--ahmet_avni_konuk.mid,maveraunnehr,kupe,devrirevanihindi,alem-i elhan,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/maveraunnehr--kupe--devrirevanihindi--alem-i_elhan--ahmet_avni_konuk.mid,symbtr_106_maveraunnehr_kupe.mid
mahur--mars--sofyan--gafil_ne--muallim_ismail_hakki_bey.mid,mahur,mars,sofyan,gafil ne,muallim ismail hakki bey,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/mahur--mars--sofyan--gafil_ne--muallim_ismail_hakki_bey.mid,symbtr_107_mahur_mars.mid
pencgah--seyir--semai--1--rauf_yekta.mid,pencgah,seyir,semai,1,rauf yekta,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/pencgah--seyir--semai--1--rauf_yekta.mid,symbtr_108_pencgah_seyir.mid
neveser--kupe--devrirevanihindi--dinle_canim--ahmet_avni_konuk.mid,neveser,kupe,devrirevanihindi,dinle canim,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/neveser--kupe--devrirevanihindi--dinle_canim--ahmet_avni_konuk.mid,symbtr_109_neveser_kupe.mid
dilkusa--sazsemaisi--aksaksemai----arif_mehmet_aga.mid,dilkusa,sazsemaisi,aksaksemai,,arif mehmet aga,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/dilkusa--sazsemaisi--aksaksemai----arif_mehmet_aga.mid,symbtr_110_dilkusa_sazsemaisi.mid
kurdi_gerdaniye--kupe--musemmen--gordum_agaz--ahmet_avni_konuk.mid,kurdi_gerdaniye,kupe,musemmen,gordum agaz,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/kurdi_gerdaniye--kupe--musemmen--gordum_agaz--ahmet_avni_konuk.mid,symbtr_111_kurdi_gerdaniye_kupe.mid
muhayyer--murabba--agircenber--vakt-i_subh--hafiz_post.mid,muhayyer,murabba,agircenber,vakt-i subh,hafiz post,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/muhayyer--murabba--agircenber--vakt-i_subh--hafiz_post.mid,symbtr_112_muhayyer_murabba.mid
mahurbuselik--kupe--aksak--ey_gozu--ahmet_avni_konuk.mid,mahurbuselik,kupe,aksak,ey gozu,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/mahurbuselik--kupe--aksak--ey_gozu--ahmet_avni_konuk.mid,symbtr_113_mahurbuselik_kupe.mid
karcigar--kupe--duyek--bir_sada-yi--ahmet_avni_konuk.mid,karcigar,kupe,duyek,bir sada-yi,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/karcigar--kupe--duyek--bir_sada-yi--ahmet_avni_konuk.mid,symbtr_114_karcigar_kupe.mid
dilkeshaveran--kupe--agirevfer--alemin_aklin--ahmet_avni_konuk.mid,dilkeshaveran,kupe,agirevfer,alemin aklin,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/dilkeshaveran--kupe--agirevfer--alemin_aklin--ahmet_avni_konuk.mid,symbtr_115_dilkeshaveran_kupe.mid
karcigar--sazsemaisi--aksaksemai----ahmet_mukerrem_akinci.mid,karcigar,sazsemaisi,aksaksemai,,ahmet mukerrem akinci,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/karcigar--sazsemaisi--aksaksemai----ahmet_mukerrem_akinci.mid,symbtr_116_karcigar_sazsemaisi.mid
sehnazbuselik--aranagme--semai--1--.mid,sehnazbuselik,aranagme,semai,1,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/sehnazbuselik--aranagme--semai--1--.mid,symbtr_117_sehnazbuselik_aranagme.mid
huseyni--pesrev--devrikebir----kul_mehmet.mid,huseyni,pesrev,devrikebir,,kul mehmet,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/huseyni--pesrev--devrikebir----kul_mehmet.mid,symbtr_118_huseyni_pesrev.mid
muhayyerbuselik--kupe--aksak--bir_muhayyer--ahmet_avni_konuk.mid,muhayyerbuselik,kupe,aksak,bir muhayyer,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/muhayyerbuselik--kupe--aksak--bir_muhayyer--ahmet_avni_konuk.mid,symbtr_119_muhayyerbuselik_kupe.mid
hicaz--turku--nimsofyan--daglar_daglar--.mid,hicaz,turku,nimsofyan,daglar daglar,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicaz--turku--nimsofyan--daglar_daglar--.mid,symbtr_120_hicaz_turku.mid
saba--turku--nimsofyan--pinar_basi--.mid,saba,turku,nimsofyan,pinar basi,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/saba--turku--nimsofyan--pinar_basi--.mid,symbtr_121_saba_turku.mid
mahur--pesrev--hafif----rauf_yekta.mid,mahur,pesrev,hafif,,rauf yekta,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/mahur--pesrev--hafif----rauf_yekta.mid,symbtr_122_mahur_pesrev.mid
beyati--beste--hafif--bir_gonca_femin--dede_efendi.mid,beyati,beste,hafif,bir gonca femin,dede efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/beyati--beste--hafif--bir_gonca_femin--dede_efendi.mid,symbtr_123_beyati_beste.mid
suzidil--agirsemai--aksaksemai--beni_ey--sadullah_aga.mid,suzidil,agirsemai,aksaksemai,beni ey,sadullah aga,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/suzidil--agirsemai--aksaksemai--beni_ey--sadullah_aga.mid,symbtr_124_suzidil_agirsemai.mid
tahir--turku--sofyan--hele_yar--diyarbakir.mid,tahir,turku,sofyan,hele yar,diyarbakir,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/tahir--turku--sofyan--hele_yar--diyarbakir.mid,symbtr_125_tahir_turku.mid
hisarbuselik--turku--curcuna--araz_uste--.mid,hisarbuselik,turku,curcuna,araz uste,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hisarbuselik--turku--curcuna--araz_uste--.mid,symbtr_126_hisarbuselik_turku.mid
buselik--murabba--zencir--gonul_o_turra--yahya_nazim_celebi.mid,buselik,murabba,zencir,gonul o turra,yahya nazim celebi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/buselik--murabba--zencir--gonul_o_turra--yahya_nazim_celebi.mid,symbtr_127_buselik_murabba.mid
buzurk--seyir--sofyan--1--sefik_gurmeric.mid,buzurk,seyir,sofyan,1,sefik gurmeric,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/buzurk--seyir--sofyan--1--sefik_gurmeric.mid,symbtr_128_buzurk_seyir.mid
isfahanek--kupe--duyek--tutiya-yi--ahmet_avni_konuk.mid,isfahanek,kupe,duyek,tutiya-yi,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/isfahanek--kupe--duyek--tutiya-yi--ahmet_avni_konuk.mid,symbtr_129_isfahanek_kupe.mid
hicaz_humayun--turku--curcuna--hishisi_hancer--gaziantep.mid,hicaz_humayun,turku,curcuna,hishisi hancer,gaziantep,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicaz_humayun--turku--curcuna--hishisi_hancer--gaziantep.mid,symbtr_130_hicaz_humayun_turku.mid
mahur--sarki--aksak--gor_nitti_cana--dede_efendi.mid,mahur,sarki,aksak,gor nitti cana,dede efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/mahur--sarki--aksak--gor_nitti_cana--dede_efendi.mid,symbtr_131_mahur_sarki.mid
ussak--sarki--aksak--muntazirdir_sana--dellalzade_haci_ismail_efendi.mid,ussak,sarki,aksak,muntazirdir sana,dellalzade haci ismail efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/ussak--sarki--aksak--muntazirdir_sana--dellalzade_haci_ismail_efendi.mid,symbtr_132_ussak_sarki.mid
asiranmaye--kupe--aksaksemai--bir--ahmet_avni_konuk.mid,asiranmaye,kupe,aksaksemai,bir,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/asiranmaye--kupe--aksaksemai--bir--ahmet_avni_konuk.mid,symbtr_133_asiranmaye_kupe.mid
gulzar--sazsemaisi--aksaksemai----ismet_burkay.mid,gulzar,sazsemaisi,aksaksemai,,ismet burkay,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/gulzar--sazsemaisi--aksaksemai----ismet_burkay.mid,symbtr_134_gulzar_sazsemaisi.mid
acemasiran--aranagme--agiraksak--1--.mid,acemasiran,aranagme,agiraksak,1,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/acemasiran--aranagme--agiraksak--1--.mid,symbtr_135_acemasiran_aranagme.mid
muhayyerkurdi--sarki--musemmen--ayrilik_var--selahattin_icli.mid,muhayyerkurdi,sarki,musemmen,ayrilik var,selahattin icli,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/muhayyerkurdi--sarki--musemmen--ayrilik_var--selahattin_icli.mid,symbtr_136_muhayyerkurdi_sarki.mid
nikriz--sarki--aksak--elmas_senin--tanburi_mustafa_cavus.mid,nikriz,sarki,aksak,elmas senin,tanburi mustafa cavus,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/nikriz--sarki--aksak--elmas_senin--tanburi_mustafa_cavus.mid,symbtr_137_nikriz_sarki.mid
dilkeside--kupe--yuruksemai_ii--dilkeside--ahmet_avni_konuk.mid,dilkeside,kupe,yuruksemai_ii,dilkeside,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/dilkeside--kupe--yuruksemai_ii--dilkeside--ahmet_avni_konuk.mid,symbtr_138_dilkeside_kupe.mid
bestenigar--seyir--semai--1--rauf_yekta.mid,bestenigar,seyir,semai,1,rauf yekta,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/bestenigar--seyir--semai--1--rauf_yekta.mid,symbtr_139_bestenigar_seyir.mid
askefza--pesrev--ayindevrirevani----huseyin_sadettin_arel.mid,askefza,pesrev,ayindevrirevani,,huseyin sadettin arel,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/askefza--pesrev--ayindevrirevani----huseyin_sadettin_arel.mid,symbtr_140_askefza_pesrev.mid
huseyni--ornek_oz--sofyan--3--ruhi_ayangil.mid,huseyni,ornek_oz,sofyan,3,ruhi ayangil,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/huseyni--ornek_oz--sofyan--3--ruhi_ayangil.mid,symbtr_141_huseyni_ornek_oz.mid
hicaz_zirgule--kupe--duyek--basladi_mecliste--ahmet_avni_konuk.mid,hicaz_zirgule,kupe,duyek,basladi mecliste,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicaz_zirgule--kupe--duyek--basladi_mecliste--ahmet_avni_konuk.mid,symbtr_142_hicaz_zirgule_kupe.mid
hicazkar--sarki--aksak--bekledim_fecre--rakim_elkutlu.mid,hicazkar,sarki,aksak,bekledim fecre,rakim elkutlu,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicazkar--sarki--aksak--bekledim_fecre--rakim_elkutlu.mid,symbtr_143_hicazkar_sarki.mid
segah_maye--kupe--darb--maye-i_ask-i--ahmet_avni_konuk.mid,segah_maye,kupe,darb,maye-i ask-i,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/segah_maye--kupe--darb--maye-i_ask-i--ahmet_avni_konuk.mid,symbtr_144_segah_maye_kupe.mid
hicaz--kocekce--aksak--baharin_zamani--dede_efendi.mid,hicaz,kocekce,aksak,baharin zamani,dede efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicaz--kocekce--aksak--baharin_zamani--dede_efendi.mid,symbtr_145_hicaz_kocekce.mid
ussak--sarki--semai--gonlume_gir--yilmaz_yuksel.mid,ussak,sarki,semai,gonlume gir,yilmaz yuksel,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/ussak--sarki--semai--gonlume_gir--yilmaz_yuksel.mid,symbtr_146_ussak_sarki.mid
ussak--beste--agircenber--cam-i_lalin--zaharya.mid,ussak,beste,agircenber,cam-i lalin,zaharya,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/ussak--beste--agircenber--cam-i_lalin--zaharya.mid,symbtr_147_ussak_beste.mid
nisaburek--sarki--duyek--ayrilik_yari--selahaddin_pinar.mid,nisaburek,sarki,duyek,ayrilik yari,selahaddin pinar,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/nisaburek--sarki--duyek--ayrilik_yari--selahaddin_pinar.mid,symbtr_148_nisaburek_sarki.mid
dilnisin--kupe--devrirevanihindi--bir--ahmet_avni_konuk.mid,dilnisin,kupe,devrirevanihindi,bir,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/dilnisin--kupe--devrirevanihindi--bir--ahmet_avni_konuk.mid,symbtr_149_dilnisin_kupe.mid
sultaniyegah--aranagme--nimsofyan--1--.mid,sultaniyegah,aranagme,nimsofyan,1,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/sultaniyegah--aranagme--nimsofyan--1--.mid,symbtr_150_sultaniyegah_aranagme.mid
huzzam--sarki--aksak--vefa_yoktur--tanburi_mustafa_cavus.mid,huzzam,sarki,aksak,vefa yoktur,tanburi mustafa cavus,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/huzzam--sarki--aksak--vefa_yoktur--tanburi_mustafa_cavus.mid,symbtr_151_huzzam_sarki.mid
muhayyer--divan--nimsofyan--ok_gibi--.mid,muhayyer,divan,nimsofyan,ok gibi,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/muhayyer--divan--nimsofyan--ok_gibi--.mid,symbtr_152_muhayyer_divan.mid
rastmaye--kupe--devrirevanihindi--nagmemiz_bu--ahmet_avni_konuk.mid,rastmaye,kupe,devrirevanihindi,nagmemiz bu,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/rastmaye--kupe--devrirevanihindi--nagmemiz_bu--ahmet_avni_konuk.mid,symbtr_153_rastmaye_kupe.mid
sabazemzeme--kupe--musemmen--ehl-i_askin--ahmet_avni_konuk.mid,sabazemzeme,kupe,musemmen,ehl-i askin,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/sabazemzeme--kupe--musemmen--ehl-i_askin--ahmet_avni_konuk.mid,symbtr_154_sabazemzeme_kupe.mid
rast--sarki--kapali_curcuna--nedendir_bu--sevki_bey.mid,rast,sarki,kapali_curcuna,nedendir bu,sevki bey,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/rast--sarki--kapali_curcuna--nedendir_bu--sevki_bey.mid,symbtr_155_rast_sarki.mid
vechisehnaz--kupe--duyek--vech-i--ahmet_avni_konuk.mid,vechisehnaz,kupe,duyek,vech-i,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/vechisehnaz--kupe--duyek--vech-i--ahmet_avni_konuk.mid,symbtr_156_vechisehnaz_kupe.mid
besteisfahan--kupe--agirevfer--isfahanli_bir--ahmet_avni_konuk.mid,besteisfahan,kupe,agirevfer,isfahanli bir,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/besteisfahan--kupe--agirevfer--isfahanli_bir--ahmet_avni_konuk.mid,symbtr_157_besteisfahan_kupe.mid
muhayyerkurdi--turku--oynak--evlerinin_onu--.mid,muhayyerkurdi,turku,oynak,evlerinin onu,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/muhayyerkurdi--turku--oynak--evlerinin_onu--.mid,symbtr_158_muhayyerkurdi_turku.mid
ussak--sarki--duyek--aksam_oldu_huzunlendim--semahat_ozdenses.mid,ussak,sarki,duyek,aksam oldu huzunlendim,semahat ozdenses,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/ussak--sarki--duyek--aksam_oldu_huzunlendim--semahat_ozdenses.mid,symbtr_159_ussak_sarki.mid
rengidil--sarki--turkaksagi--masum_bakislim--halis_bey.mid,rengidil,sarki,turkaksagi,masum bakislim,halis bey,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/rengidil--sarki--turkaksagi--masum_bakislim--halis_bey.mid,symbtr_160_rengidil_sarki.mid
tahir--turku--nimsofyan--gidin_bulutlar--kutahya.mid,tahir,turku,nimsofyan,gidin bulutlar,kutahya,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/tahir--turku--nimsofyan--gidin_bulutlar--kutahya.mid,symbtr_161_tahir_turku.mid
beyati_araban--ilahi--duyek--gonul_mazhardir--enderunlu_hafiz_husnu_efendi.mid,beyati_araban,ilahi,duyek,gonul mazhardir,enderunlu hafiz husnu efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/beyati_araban--ilahi--duyek--gonul_mazhardir--enderunlu_hafiz_husnu_efendi.mid,symbtr_162_beyati_araban_ilahi.mid
hicaz--turku--aksak--necibemin_ikidir--istanbul.mid,hicaz,turku,aksak,necibemin ikidir,istanbul,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicaz--turku--aksak--necibemin_ikidir--istanbul.mid,symbtr_163_hicaz_turku.mid
huzzam_icedid--ilahi--duyek--goster_bize--huseyin_sadettin_arel.mid,huzzam_icedid,ilahi,duyek,goster bize,huseyin sadettin arel,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/huzzam_icedid--ilahi--duyek--goster_bize--huseyin_sadettin_arel.mid,symbtr_164_huzzam_icedid_ilahi.mid
saba--turku--duyek--hangi_bagin--.mid,saba,turku,duyek,hangi bagin,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/saba--turku--duyek--hangi_bagin--.mid,symbtr_165_saba_turku.mid
murekkep_isfahan--sarki--devrihindi--kalmadi_sabra--udi_nevres_bey.mid,murekkep_isfahan,sarki,devrihindi,kalmadi sabra,udi nevres bey,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/murekkep_isfahan--sarki--devrihindi--kalmadi_sabra--udi_nevres_bey.mid,symbtr_166_murekkep_isfahan_sarki.mid
sipihr--kupe--duyek--her--ahmet_avni_konuk.mid,sipihr,kupe,duyek,her,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/sipihr--kupe--duyek--her--ahmet_avni_konuk.mid,symbtr_167_sipihr_kupe.mid
muhayyer--turku--aksak--serenler--burdur.mid,muhayyer,turku,aksak,serenler,burdur,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/muhayyer--turku--aksak--serenler--burdur.mid,symbtr_168_muhayyer_turku.mid
ussak--kurthavasi--sofyan--karsida_kurt--.mid,ussak,kurthavasi,sofyan,karsida kurt,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/ussak--kurthavasi--sofyan--karsida_kurt--.mid,symbtr_169_ussak_kurthavasi.mid
segah--sarki--aksak--suyi_kagithanede--lavtaci_hristo.mid,segah,sarki,aksak,suyi kagithanede,lavtaci hristo,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/segah--sarki--aksak--suyi_kagithanede--lavtaci_hristo.mid,symbtr_170_segah_sarki.mid
sehnaz--sarki--agirevfer--merami_andelibin--kemani_riza_efendi.mid,sehnaz,sarki,agirevfer,merami andelibin,kemani riza efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/sehnaz--sarki--agirevfer--merami_andelibin--kemani_riza_efendi.mid,symbtr_171_sehnaz_sarki.mid
