path,duration_s,note_count,note_density,pitch_min,pitch_max,pitch_range,avg_pitch,avg_velocity,avg_note_dur_s,pc_entropy,n_instruments,filename,tradition
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_027_ragamalika.mid,418.15,1118,2.674,30,93,63,62.0,60.5,0.243,3.2865,1,carnatic_027_ragamalika.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_028_ragamalika.mid,313.48,1072,3.42,30,82,52,61.3,63.1,0.232,3.3536,1,carnatic_028_ragamalika.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_029_Budham_Aashrayami.mid,1133.03,4603,4.063,40,90,50,62.2,65.9,0.261,2.4108,1,carnatic_029_Budham_Aashrayami.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_030_Sami_Dayajuda.mid,444.37,1425,3.207,40,76,36,62.2,63.1,0.255,2.4872,1,carnatic_030_Sami_Dayajuda.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_031_RTP_Andholika.mid,2316.86,7057,3.046,40,102,62,63.0,62.5,0.263,2.6734,1,carnatic_031_RTP_Andholika.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_032_Sarasamukhi_Sakala.mid,265.08,941,3.55,40,80,40,61.3,61.8,0.222,2.4481,1,carnatic_032_Sarasamukhi_Sakala.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_033_nadanamakriya.mid,122.24,635,5.195,41,85,44,59.9,62.9,0.219,2.3679,1,carnatic_033_nadanamakriya.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_034_madyamavati.mid,207.09,665,3.211,36,86,50,55.6,59.6,0.22,2.5875,1,carnatic_034_madyamavati.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_035_punnaga_varali.mid,230.42,853,3.702,41,75,34,58.1,60.9,0.215,2.2296,1,carnatic_035_punnaga_varali.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_036_jaganmohini.mid,710.94,2488,3.5,40,84,44,60.9,58.2,0.225,2.1136,1,carnatic_036_jaganmohini.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_037_mandhari.mid,466.98,1620,3.469,41,76,35,59.5,58.3,0.224,2.0983,1,carnatic_037_mandhari.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_038_vakulabharanam.mid,1316.81,5295,4.021,36,88,52,58.1,60.5,0.244,2.6088,1,carnatic_038_vakulabharanam.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_039_Dharini_Telusukonti.mid,2001.07,7677,3.836,31,96,65,62.3,63.1,0.254,2.721,1,carnatic_039_Dharini_Telusukonti.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_040_Karuna_Ela_Gante.mid,931.69,4118,4.42,31,92,61,62.7,65.2,0.255,2.7691,1,carnatic_040_Karuna_Ela_Gante.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_041_Gam_Ganapate.mid,444.23,1814,4.083,41,88,47,63.7,64.7,0.224,2.4301,1,carnatic_041_Gam_Ganapate.mid,carnatic
